img,niqe
./dis_6projections/00003_Rahel003_Basics_007_jpeg_q_20.obj/3.png,18.00748967
./dis_6projections/00003_Rahel003_Basics_007_jpeg_q_20.obj/4.png,12.2734475
./dis_6projections/00003_Rahel003_Basics_007_jpeg_q_20.obj/5.png,15.05603936
./dis_6projections/00003_Rahel003_Basics_007_qp_level_6.obj/0.png,5.828985193
./dis_6projections/00003_Rahel003_Basics_007_qp_level_6.obj/1.png,6.528500509
./dis_6projections/00003_Rahel003_Basics_007_qp_level_6.obj/2.png,5.517022046
./dis_6projections/00003_Rahel003_Basics_007_qp_level_6.obj/3.png,6.144681613
./dis_6projections/00003_Rahel003_Basics_007_qp_level_6.obj/4.png,9.131144992
./dis_6projections/00003_Rahel003_Basics_007_qp_level_6.obj/5.png,10.37238689
./dis_6projections/00003_Rahel003_Basics_007_qp_level_7.obj/0.png,5.762099826
./dis_6projections/00003_Rahel003_Basics_007_qp_level_7.obj/1.png,5.206153556
./dis_6projections/00003_Rahel003_Basics_007_qp_level_7.obj/2.png,5.216682619
./dis_6projections/00003_Rahel003_Basics_007_qp_level_7.obj/3.png,5.250636221
./dis_6projections/00003_Rahel003_Basics_007_qp_level_7.obj/4.png,5.670834019
./dis_6projections/00003_Rahel003_Basics_007_qp_level_7.obj/5.png,8.462878405
./dis_6projections/00003_Rahel003_Basics_007_qp_level_8.obj/0.png,5.904332743
./dis_6projections/00003_Rahel003_Basics_007_qp_level_8.obj/1.png,5.054218388
./dis_6projections/00003_Rahel003_Basics_007_qp_level_8.obj/2.png,4.779171409
./dis_6projections/00003_Rahel003_Basics_007_qp_level_8.obj/3.png,4.888102696
./dis_6projections/00003_Rahel003_Basics_007_qp_level_8.obj/4.png,5.295815917
./dis_6projections/00003_Rahel003_Basics_007_qp_level_8.obj/5.png,7.258967106
./dis_6projections/00003_Rahel003_Basics_007_qp_level_9.obj/0.png,5.801440203
./dis_6projections/00003_Rahel003_Basics_007_qp_level_9.obj/1.png,4.931735143
./dis_6projections/00003_Rahel003_Basics_007_qp_level_9.obj/2.png,4.614733521
./dis_6projections/00003_Rahel003_Basics_007_qp_level_9.obj/3.png,4.582113506
./dis_6projections/00003_Rahel003_Basics_007_qp_level_9.obj/4.png,5.327768592
./dis_6projections/00003_Rahel003_Basics_007_qp_level_9.obj/5.png,8.188858167
./dis_6projections/00003_Rahel003_Basics_007_qt_level_6.obj/0.png,7.307206475
./dis_6projections/00003_Rahel003_Basics_007_qt_level_6.obj/1.png,7.092135085
./dis_6projections/00003_Rahel003_Basics_007_qt_level_6.obj/2.png,5.888646204
./dis_6projections/00003_Rahel003_Basics_007_qt_level_6.obj/3.png,20.05707572
./dis_6projections/00003_Rahel003_Basics_007_qt_level_6.obj/4.png,10.0163367
./dis_6projections/00003_Rahel003_Basics_007_qt_level_6.obj/5.png,9.095974794
./dis_6projections/00003_Rahel003_Basics_007_qt_level_7.obj/0.png,5.72330904
./dis_6projections/00003_Rahel003_Basics_007_qt_level_7.obj/1.png,5.617468903
./dis_6projections/00003_Rahel003_Basics_007_qt_level_7.obj/2.png,4.966254435
./dis_6projections/00003_Rahel003_Basics_007_qt_level_7.obj/3.png,19.01012552
./dis_6projections/00003_Rahel003_Basics_007_qt_level_7.obj/4.png,5.938340916
./dis_6projections/00003_Rahel003_Basics_007_qt_level_7.obj/5.png,7.771538194
./dis_6projections/00003_Rahel003_Basics_007_qt_level_8.obj/0.png,5.585574865
./dis_6projections/00003_Rahel003_Basics_007_qt_level_8.obj/1.png,5.02686532
./dis_6projections/00003_Rahel003_Basics_007_qt_level_8.obj/2.png,4.484596472
./dis_6projections/00003_Rahel003_Basics_007_qt_level_8.obj/3.png,17.8410716
./dis_6projections/00003_Rahel003_Basics_007_qt_level_8.obj/4.png,5.150939883
./dis_6projections/00003_Rahel003_Basics_007_qt_level_8.obj/5.png,7.734386701
./dis_6projections/00003_Rahel003_Basics_007_qt_level_9.obj/0.png,5.482508333
./dis_6projections/00003_Rahel003_Basics_007_qt_level_9.obj/1.png,4.844338122
./dis_6projections/00003_Rahel003_Basics_007_qt_level_9.obj/2.png,4.507009117
./dis_6projections/00003_Rahel003_Basics_007_qt_level_9.obj/3.png,17.42512419
./dis_6projections/00003_Rahel003_Basics_007_qt_level_9.obj/4.png,5.412962923
./dis_6projections/00003_Rahel003_Basics_007_qt_level_9.obj/5.png,7.83925857
./dis_6projections/00003_Rahel003_Basics_007_simp_rate_0.05.obj/0.png,5.974267406
./dis_6projections/00003_Rahel003_Basics_007_simp_rate_0.05.obj/1.png,5.405678346
./dis_6projections/00003_Rahel003_Basics_007_simp_rate_0.05.obj/2.png,4.677613026
./dis_6projections/00003_Rahel003_Basics_007_simp_rate_0.05.obj/3.png,5.360532478
./dis_6projections/00003_Rahel003_Basics_007_simp_rate_0.05.obj/4.png,9.435520844
./dis_6projections/00003_Rahel003_Basics_007_simp_rate_0.05.obj/5.png,9.236241227
./dis_6projections/00003_Rahel003_Basics_007_simp_rate_0.10.obj/0.png,6.455102386
./dis_6projections/00003_Rahel003_Basics_007_simp_rate_0.10.obj/1.png,5.64416705
./dis_6projections/00003_Rahel003_Basics_007_simp_rate_0.10.obj/2.png,4.444069728
./dis_6projections/00003_Rahel003_Basics_007_simp_rate_0.10.obj/3.png,18.10692857
./dis_6projections/00003_Rahel003_Basics_007_simp_rate_0.10.obj/4.png,8.40881743
./dis_6projections/00003_Rahel003_Basics_007_simp_rate_0.10.obj/5.png,9.863831125
./dis_6projections/00003_Rahel003_Basics_007_simp_rate_0.20.obj/0.png,6.482305259
./dis_6projections/00003_Rahel003_Basics_007_simp_rate_0.20.obj/1.png,5.344992399
./dis_6projections/00003_Rahel003_Basics_007_simp_rate_0.20.obj/2.png,4.370303342
./dis_6projections/00003_Rahel003_Basics_007_simp_rate_0.20.obj/3.png,17.78840327
./dis_6projections/00003_Rahel003_Basics_007_simp_rate_0.20.obj/4.png,7.840424991
./dis_6projections/00003_Rahel003_Basics_007_simp_rate_0.20.obj/5.png,9.164680753
./dis_6projections/00003_Rahel003_Basics_007_simp_rate_0.40.obj/0.png,6.32970392
./dis_6projections/00003_Rahel003_Basics_007_simp_rate_0.40.obj/1.png,5.235436096
./dis_6projections/00003_Rahel003_Basics_007_simp_rate_0.40.obj/2.png,4.390649427
./dis_6projections/00003_Rahel003_Basics_007_simp_rate_0.40.obj/3.png,18.00642876
./dis_6projections/00003_Rahel003_Basics_007_simp_rate_0.40.obj/4.png,8.429940383
./dis_6projections/00003_Rahel003_Basics_007_simp_rate_0.40.obj/5.png,9.363414481
./dis_6projections/00003_Rahel003_Basics_007_sub_rate_02.obj/0.png,9.398776435
./dis_6projections/00003_Rahel003_Basics_007_sub_rate_02.obj/1.png,9.070428626
./dis_6projections/00003_Rahel003_Basics_007_sub_rate_02.obj/2.png,7.273915409
./dis_6projections/00003_Rahel003_Basics_007_sub_rate_02.obj/3.png,21.5308278
./dis_6projections/00003_Rahel003_Basics_007_sub_rate_02.obj/4.png,12.12325106
./dis_6projections/00003_Rahel003_Basics_007_sub_rate_02.obj/5.png,11.69711655
./dis_6projections/00003_Rahel003_Basics_007_sub_rate_04.obj/0.png,12.36282493
